Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
DNAJB4;Q9UDY4;1,920523;1,00E+00;1,687099;1,00E+00;Vicino all'ER;0,233424;Homo sapiens;;Cytoplasm;DnaJ homolog subfamily B member 4
DNAJB6;"A0A0J9YX62;C9J2C4;O75190";2,095433;1,00E+00;1,855815;1,00E+00;Vicino all'ER;0,239618;Homo sapiens;;Cytoplasm;"DnaJ heat shock protein family (Hsp40) member B6;DnaJ heat shock protein family (Hsp40) member B6 (Fragment);DnaJ homolog subfamily B member 6"
DNAJB9;Q9UBS3;1,370217;2,57E-01;1,17903;2,06E-01;Vicino all'ER;0,191187;Homo sapiens;;ER;DnaJ homolog subfamily B member 9
DNAJC1;Q96KC8;0,658015;2,68E-03;0,472433;4,52E-04;Vicino all'ER;0,185582;Homo sapiens;;Mitochondria;DnaJ homolog subfamily C member 1
DNAJC10;A0A7P0TAQ9;0,2832486;0,00E+00;0,2442024;0,00E+00;Vicino all'ER;0,0390462;Homo sapiens;ER;ER;DnaJ homolog subfamily C member 10
DNAJC11;Q9NVH1;0,6584918;2,70E-03;0,6456115;3,55E-03;Vicino all'ER;0,0128803;Homo sapiens;Mitochondria;Mitochondria;DnaJ homolog subfamily C member 11
DNAJC13;O75165;1,491568;4,38E-01;1,342773;4,54E-01;Vicino all'ER;0,148795;Homo sapiens;;PM;DnaJ homolog subfamily C member 13
DNAJC16;Q9Y2G8;0,6931913;3,52E-03;0,6145483;2,58E-03;Vicino all'ER;0,078643;Homo sapiens;;ER;DnaJ homolog subfamily C member 16
DNAJC17;Q9NVM6;2,065409;1,00E+00;1,816204;1,00E+00;Vicino all'ER;0,249205;Homo sapiens;;Cytoplasm;DnaJ homolog subfamily C member 17
DNAJC19;Q96DA6;1,13733;7,35E-02;0,9042308;3,30E-02;Vicino all'ER;0,2330992;Homo sapiens;;Mitochondria;Mitochondrial import inner membrane translocase subunit TIM14
DNAJC2;Q99543;1,817782;1,00E+00;1,618159;9,94E-01;Vicino all'ER;0,199623;Homo sapiens;;Translation;DnaJ homolog subfamily C member 2
DNAJC21;Q5F1R6;2,015473;1,00E+00;1,828144;1,00E+00;Vicino all'ER;0,187329;Homo sapiens;Translation;Translation;DnaJ homolog subfamily C member 21
DNAJC25;Q9H1X3;0,8682846;1,27E-02;0,71618;7,26E-03;Vicino all'ER;0,1521046;Homo sapiens;;Mitochondria;DnaJ homolog subfamily C member 25
DNAJC25-GNG10;A0A024R161;1,098315;5,95E-02;0,8796665;2,77E-02;Vicino all'ER;0,2186485;Homo sapiens;;Mitochondria;Guanine nucleotide-binding protein subunit gamma
DNAJC3;Q13217;0,3113008;0,00E+00;0,2619679;0,00E+00;Vicino all'ER;0,0493329;Homo sapiens;;ER;DnaJ homolog subfamily C member 3
DNAJC5;Q9H3Z4;1,18642;9,69E-02;1,043029;9,34E-02;Vicino all'ER;0,143391;Homo sapiens;;PM;DnaJ homolog subfamily C member 5
DNAJC7;"A0A6I8PS32;A0A6I8PU73;A0A6I8PUD4;Q99615";2,10908;1,00E+00;1,862186;1,00E+00;Vicino all'ER;0,246894;Homo sapiens;;Cytoplasm;"DnaJ heat shock protein family (Hsp40) member C7 (Fragment);DnaJ heat shock protein family (Hsp40) member C7;DnaJ heat shock protein family (Hsp40) member C7;DnaJ homolog subfamily C member 7"
DNAJC8;O75937;1,768697;9,40E-01;1,556399;8,77E-01;Vicino all'ER;0,212298;Homo sapiens;;Cytoplasm;DnaJ homolog subfamily C member 8
DNAJC9;Q8WXX5;1,909048;1,00E+00;1,662882;1,00E+00;Vicino all'ER;0,246166;Homo sapiens;;Cytoplasm;DnaJ homolog subfamily C member 9
DNASE2;O00115;0,8262338;9,41E-03;0,7462584;9,29E-03;Vicino all'ER;0,0799754;Homo sapiens;Lysosome;Lysosome;Deoxyribonuclease-2-alpha
DNM1;"A0A0D9SFB1;A0A0D9SFE4;A0A0U1RQP1;A0A994J7J4;Q05193";2,023301;1,00E+00;1,760633;1,00E+00;Vicino all'ER;0,262668;Homo sapiens;;Cytoplasm;"dynamin GTPase;dynamin GTPase;dynamin GTPase;dynamin GTPase;Dynamin-1"
DNM1L;O00429;2,058042;1,00E+00;1,81828;1,00E+00;Vicino all'ER;0,239762;Homo sapiens;Cytoplasm;Cytoplasm;Dynamin-1-like protein
DNM1L;A0A994J3M8;2,187054;1,00E+00;1,944651;1,00E+00;Vicino all'ER;0,242403;Homo sapiens;Cytoplasm;Cytoplasm;Dynamin-1-like protein
DNM2;P50570;1,370886;2,59E-01;1,1516;1,78E-01;Vicino all'ER;0,219286;Homo sapiens;protein-complex;ER;Dynamin-2
DNM2;K7EMQ3;1,983204;1,00E+00;1,755171;1,00E+00;Vicino all'ER;0,228033;Homo sapiens;protein-complex;protein-complex;Dynamin 2 (Fragment)
DNMBP;Q6XZF7;2,016353;1,00E+00;1,766716;1,00E+00;Vicino all'ER;0,249637;Homo sapiens;Cytoplasm;Cytoplasm;Dynamin-binding protein
DNMT1;"A0A7I2V490;A0A7I2V5D0;P26358";0,9926174;3,09E-02;0,9062774;3,36E-02;Vicino all'ER;0,08634;Homo sapiens;;Nucleus;"DNA (cytosine-5)-methyltransferase;DNA (cytosine-5)-methyltransferase;DNA (cytosine-5)-methyltransferase 1"
DNPEP;"E5RIA4;E7ETB3;Q9ULA0";2,128047;1,00E+00;1,896304;1,00E+00;Vicino all'ER;0,231743;Homo sapiens;protein-complex;protein-complex;Aspartyl aminopeptidase
DNPH1;"H0Y8X4;O43598";2,123186;1,00E+00;1,881613;1,00E+00;Vicino all'ER;0,241573;Homo sapiens;;Cytoplasm;"5-hydroxymethyl-dUMP N-hydrolase (Fragment);5-hydroxymethyl-dUMP N-hydrolase"
DNTTIP2;Q5QJE6;1,183151;9,53E-02;1,127523;1,56E-01;Vicino all'ER;0,055628;Homo sapiens;;Nucleus;Deoxynucleotidyltransferase terminal-interacting protein 2
DOCK1;A0A096LNH6;1,435262;3,47E-01;1,238614;2,84E-01;Vicino all'ER;0,196648;Homo sapiens;;Nucleus;Dedicator of cytokinesis 1
DOCK1;Q14185;1,932138;1,00E+00;1,704538;1,00E+00;Vicino all'ER;0,2276;Homo sapiens;;Translation;Dedicator of cytokinesis protein 1
DOCK10;"A0A2R8YD85;Q96BY6";1,645606;7,27E-01;1,44287;6,57E-01;Vicino all'ER;0,202736;Homo sapiens;;PM;"Dedicator of cytokinesis 10;Dedicator of cytokinesis protein 10"
DOCK11;"A6NIW2;Q5JSL3";1,599986;6,40E-01;1,485344;7,39E-01;Vicino all'ER;0,114642;Homo sapiens;;protein-complex;"Dedicator of cytokinesis 11;Dedicator of cytokinesis protein 11"
DOCK4;"H0Y599;Q8N1I0";1,738927;8,92E-01;1,502394;7,75E-01;Vicino all'ER;0,236533;Homo sapiens;;endosome-vesicle;"Dedicator of cytokinesis 4 (Fragment);Dedicator of cytokinesis protein 4"
DOCK5;Q9H7D0;1,975279;1,00E+00;1,75563;1,00E+00;Vicino all'ER;0,219649;Homo sapiens;;Translation;Dedicator of cytokinesis protein 5
DOCK6;K7ESB7;1,315811;1,97E-01;1,220843;2,58E-01;Vicino all'ER;0,094968;Homo sapiens;;Golgi apparatus;Dedicator of cytokinesis 6
DOCK7;Q96N67;1,550712;5,45E-01;1,389568;5,47E-01;Vicino all'ER;0,161144;Homo sapiens;;Translation;Dedicator of cytokinesis protein 7
DOCK8;"A2A369;Q8NF50";2,122719;1,00E+00;1,95788;1,00E+00;Vicino all'ER;0,164839;Homo sapiens;;protein-complex;"Dedicator of cytokinesis 8;Dedicator of cytokinesis protein 8"
DOCK9;"A0A088AWN3;A0A804HIE8;A0A8V8TQS9;A0A8V8TR95;Q9BZ29;X6RGR3";2,279972;1,00E+00;2,021521;1,00E+00;Vicino all'ER;0,258451;Homo sapiens;;endosome-vesicle;"Dedicator of cytokinesis 9;Dedicator of cytokinesis 9;Dedicator of cytokinesis 9;Dedicator of cytokinesis 9;Dedicator of cytokinesis protein 9;Dedicator of cytokinesis 9"
DOHH;Q9BU89;2,11927;1,00E+00;1,874395;1,00E+00;Vicino all'ER;0,244875;Homo sapiens;Cytoplasm;Cytoplasm;Deoxyhypusine hydroxylase
DOK1;Q99704;2,04666;1,00E+00;1,786765;1,00E+00;Vicino all'ER;0,259895;Homo sapiens;;Cytoplasm;Docking protein 1
DOP1B;Q9Y3R5;2,097366;1,00E+00;1,895314;1,00E+00;Vicino all'ER;0,202052;Homo sapiens;;protein-complex;Protein dopey-2
DPCD;Q9BVM2;2,250216;1,00E+00;2,015625;1,00E+00;Vicino all'ER;0,234591;Homo sapiens;;protein-complex;Protein DPCD
DPF2;"A0A994J414;A0A994J6A8;J3KMZ8;Q92785";1,138371;7,38E-02;1,120124;1,49E-01;Vicino all'ER;0,018247;Homo sapiens;;Nucleus;"Double PHD fingers 2;Double PHD fingers 2;Double PHD fingers 2;Zinc finger protein ubi-d4"
DPH2;Q9BQC3;2,12229;1,00E+00;1,879505;1,00E+00;Vicino all'ER;0,242785;Homo sapiens;;Cytoplasm;2-(3-amino-3-carboxypropyl)histidine synthase subunit 2
DPH3;Q96FX2;2,168515;1,00E+00;1,927954;1,00E+00;Vicino all'ER;0,240561;Homo sapiens;;Cytoplasm;Diphthamide biosynthesis protein 3
DPH5;Q9H2P9;2,137697;1,00E+00;1,889916;1,00E+00;Vicino all'ER;0,247781;Homo sapiens;;Cytoplasm;Diphthine methyl ester synthase
DPM1;O60762;0,7738346;6,54E-03;0,4678019;4,48E-04;Vicino all'ER;0,3060327;Homo sapiens;ER;ER;Dolichol-phosphate mannosyltransferase subunit 1
DPP10;Q8N608;0,9994084;3,25E-02;0,8403054;2,01E-02;Vicino all'ER;0,159103;Homo sapiens;;ER;Inactive dipeptidyl peptidase 10
DPP3;Q9NY33;2,008937;1,00E+00;1,785559;1,00E+00;Vicino all'ER;0,223378;Homo sapiens;Cytoplasm;Cytoplasm;Dipeptidyl peptidase 3
DPP4;A0A7I2V2R5;0,9061936;1,63E-02;0,9040878;3,30E-02;Vicino all'ER;0,0021058;Homo sapiens;;PM;Dipeptidyl peptidase 4
DPP7;Q9UHL4;0,6496691;2,49E-03;0,7016996;6,41E-03;Vicino al REPLICOMA;0,0520305;Homo sapiens;Lysosome;Lysosome;Dipeptidyl peptidase 2
DPP9;Q86TI2;2,180812;1,00E+00;1,934487;1,00E+00;Vicino all'ER;0,246325;Homo sapiens;Cytoplasm;Cytoplasm;Dipeptidyl peptidase 9
DPY19L1;"A0A1B0GW05;A0A8I5KPK9;A0A8I5KSD1;Q2PZI1";0,7151448;4,07E-03;0,5660359;1,49E-03;Vicino all'ER;0,1491089;Homo sapiens;ER;ER;"Dpy-19 like C-mannosyltransferase 1;Dpy-19 like C-mannosyltransferase 1 (Fragment);Dpy-19 like C-mannosyltransferase 1 (Fragment);Protein C-mannosyl-transferase DPY19L1"
DPY19L3;Q6ZPD9;0,3308568;0,00E+00;0,3232342;0,00E+00;Vicino all'ER;0,0076226;Homo sapiens;;ER;Protein C-mannosyl-transferase DPY19L3
DPY30;Q9C005;1,606423;6,54E-01;1,405447;5,78E-01;Vicino all'ER;0,200976;Homo sapiens;;Nucleus;Protein dpy-30 homolog
DPYSL2;A0A1C7CYX9;2,117978;1,00E+00;1,87686;1,00E+00;Vicino all'ER;0,241118;Homo sapiens;Cytoplasm;Cytoplasm;Dihydropyrimidinase-related protein 2
DPYSL3;Q14195;2,129743;1,00E+00;1,888813;1,00E+00;Vicino all'ER;0,24093;Homo sapiens;Cytoplasm;Cytoplasm;Dihydropyrimidinase-related protein 3
DPYSL4;O14531;2,140226;1,00E+00;1,89468;1,00E+00;Vicino all'ER;0,245546;Homo sapiens;;Cytoplasm;Dihydropyrimidinase-related protein 4
DR1;Q01658;1,874393;1,00E+00;1,652702;1,00E+00;Vicino all'ER;0,221691;Homo sapiens;;Cytoplasm;Protein Dr1
DRAP1;"C9JCC6;Q14919";1,967888;1,00E+00;1,726608;1,00E+00;Vicino all'ER;0,24128;Homo sapiens;Cytoplasm;Cytoplasm;"DR1 associated protein 1;Dr1-associated corepressor"
DRG1;Q9Y295;1,491179;4,37E-01;1,337274;4,43E-01;Vicino all'ER;0,153905;Homo sapiens;;endosome-vesicle;Developmentally-regulated GTP-binding protein 1
DRG2;P55039;2,094248;1,00E+00;1,819768;1,00E+00;Vicino all'ER;0,27448;Homo sapiens;Cytoplasm;Cytoplasm;Developmentally-regulated GTP-binding protein 2
DSC1;Q08554;1,33301;2,14E-01;1,285632;3,53E-01;Vicino all'ER;0,047378;Homo sapiens;;Translation;Desmocollin-1
DSC3;Q14574;1,345687;2,29E-01;1,332793;4,36E-01;Vicino all'ER;0,012894;Homo sapiens;;Cytoplasm;Desmocollin-3
DSE;Q9UL01;1,09634;5,85E-02;0,9258768;3,94E-02;Vicino all'ER;0,1704632;Homo sapiens;Golgi apparatus;Golgi apparatus;Dermatan-sulfate epimerase
DSEL;Q8IZU8;1,151398;7,96E-02;0,9971576;6,75E-02;Vicino all'ER;0,1542404;Homo sapiens;;Golgi apparatus;Dermatan-sulfate epimerase-like protein
DSG1;Q02413;1,210686;1,11E-01;1,210959;2,44E-01;Vicino al REPLICOMA;0,000273;Homo sapiens;;ER;Desmoglein-1
DSG2;Q14126;1,126184;6,93E-02;1,035375;8,88E-02;Vicino all'ER;0,090809;Homo sapiens;;PM;Desmoglein-2
DSG4;Q86SJ6;1,756483;9,21E-01;1,557208;8,79E-01;Vicino all'ER;0,199275;Homo sapiens;;protein-complex;Desmoglein-4
DSP;P15924;1,038855;4,10E-02;1,013878;7,59E-02;Vicino all'ER;0,024977;Homo sapiens;;Cytoplasm;Desmoplakin
DST;A0A7P0T890;1,523002;4,93E-01;1,383801;5,34E-01;Vicino all'ER;0,139201;Homo sapiens;;ER;Dystonin
DSTN;P60981;2,102656;1,00E+00;1,858856;1,00E+00;Vicino all'ER;0,2438;Homo sapiens;;Cytoplasm;Destrin
DTD1;Q8TEA8;1,921651;1,00E+00;1,692871;1,00E+00;Vicino all'ER;0,22878;Homo sapiens;Cytoplasm;Cytoplasm;D-aminoacyl-tRNA deacylase 1
DTNA;"A0A7P0TBH9;A0A7P0Z4D7;A0A804HHT6;A0A804HHU2;M0QZ28;Q9Y4J8";1,178765;9,32E-02;1,066825;1,09E-01;Vicino all'ER;0,11194;Homo sapiens;;Nucleus;"Dystrobrevin alpha;Dystrobrevin;Dystrobrevin;Dystrobrevin alpha;Dystrobrevin alpha;Dystrobrevin alpha"
DTNBP1;Q96EV8;2,2383;1,00E+00;2,014616;1,00E+00;Vicino all'ER;0,223684;Homo sapiens;;Cytoplasm;Dysbindin
DTWD1;"H0YML0;Q8N5C7";2,126284;1,00E+00;1,88794;1,00E+00;Vicino all'ER;0,238344;Homo sapiens;;Cytoplasm;"tRNA-uridine aminocarboxypropyltransferase 1 (Fragment);tRNA-uridine aminocarboxypropyltransferase 1"
DTWD2;"D6REE2;Q8NBA8";2,11733;1,00E+00;1,876548;1,00E+00;Vicino all'ER;0,240782;Homo sapiens;;Cytoplasm;"tRNA-uridine aminocarboxypropyltransferase;tRNA-uridine aminocarboxypropyltransferase 2"
DTX3L;Q8TDB6;0,9233112;1,87E-02;0,9898137;6,43E-02;Vicino al REPLICOMA;0,0665025;Homo sapiens;Nucleus;Nucleus;E3 ubiquitin-protein ligase DTX3L
DTYMK;P23919;1,990002;1,00E+00;1,738617;1,00E+00;Vicino all'ER;0,251385;Homo sapiens;Mitochondria;Cytoplasm;Thymidylate kinase
DUS2;"E7EUN9;Q9NX74";1,983705;1,00E+00;1,711368;1,00E+00;Vicino all'ER;0,272337;Homo sapiens;Cytoplasm;Cytoplasm;"Dihydrouridine synthase 2;tRNA-dihydrouridine(20) synthase [NAD(P)+]-like"
DUS3L;Q96G46;1,978124;1,00E+00;1,773113;1,00E+00;Vicino all'ER;0,205011;Homo sapiens;;Translation;tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like
DUS4L-BCAP29;A0A669KBH7;1,569303;5,79E-01;1,331732;4,33E-01;Vicino all'ER;0,237571;Homo sapiens;;protein-complex;DUS4L-BCAP29 readthrough
DUSP12;Q9UNI6;2,197874;1,00E+00;1,951261;1,00E+00;Vicino all'ER;0,246613;Homo sapiens;;Cytoplasm;Dual specificity protein phosphatase 12
DUSP3;P51452;2,123156;1,00E+00;1,87676;1,00E+00;Vicino all'ER;0,246396;Homo sapiens;;Cytoplasm;Dual specificity protein phosphatase 3
DUT;P33316;2,043912;1,00E+00;1,799571;1,00E+00;Vicino all'ER;0,244341;Homo sapiens;Mitochondria;Cytoplasm;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial
DUT;H0YNJ9;2,10776;1,00E+00;1,858705;1,00E+00;Vicino all'ER;0,249055;Homo sapiens;Mitochondria;Cytoplasm;Deoxyuridine 5'-triphosphate nucleotidohydrolase
DVL2;"I3L2N2;O14641";1,871368;1,00E+00;1,67279;1,00E+00;Vicino all'ER;0,198578;Homo sapiens;;Cytoplasm;"Dishevelled segment polarity protein 2;Segment polarity protein dishevelled homolog DVL-2"
DVL3;Q92997;2,107604;1,00E+00;1,865927;1,00E+00;Vicino all'ER;0,241677;Homo sapiens;;Cytoplasm;Segment polarity protein dishevelled homolog DVL-3
DYNC1H1;Q14204;2,159992;1,00E+00;1,973786;1,00E+00;Vicino all'ER;0,186206;Homo sapiens;protein-complex;protein-complex;Cytoplasmic dynein 1 heavy chain 1
DYNC1I2;Q13409;2,175248;1,00E+00;1,953014;1,00E+00;Vicino all'ER;0,222234;Homo sapiens;protein-complex;protein-complex;Cytoplasmic dynein 1 intermediate chain 2
DYNC1I2;E7EQL5;2,176245;1,00E+00;1,969615;1,00E+00;Vicino all'ER;0,20663;Homo sapiens;protein-complex;protein-complex;Dynein cytoplasmic 1 intermediate chain 2 (Fragment)
DYNC1LI1;Q9Y6G9;2,16336;1,00E+00;1,949036;1,00E+00;Vicino all'ER;0,214324;Homo sapiens;;protein-complex;Cytoplasmic dynein 1 light intermediate chain 1
DYNC1LI2;O43237;2,190464;1,00E+00;1,976829;1,00E+00;Vicino all'ER;0,213635;Homo sapiens;protein-complex;protein-complex;Cytoplasmic dynein 1 light intermediate chain 2
DYNC2H1;Q8NCM8;1,752344;9,14E-01;1,560088;8,82E-01;Vicino all'ER;0,192256;Homo sapiens;;Translation;Cytoplasmic dynein 2 heavy chain 1
DYNC2I1;Q8WVS4;2,053445;1,00E+00;1,825521;1,00E+00;Vicino all'ER;0,227924;Homo sapiens;;Translation;Cytoplasmic dynein 2 intermediate chain 1
DYNC2I2;Q96EX3;2,150776;1,00E+00;1,923527;1,00E+00;Vicino all'ER;0,227249;Homo sapiens;;Translation;Cytoplasmic dynein 2 intermediate chain 2
DYNLL1;P63167;2,114971;1,00E+00;1,925826;1,00E+00;Vicino all'ER;0,189145;Homo sapiens;protein-complex;Cytoplasm;Dynein light chain 1, cytoplasmic
DYNLL2;Q96FJ2;2,171301;1,00E+00;1,912816;1,00E+00;Vicino all'ER;0,258485;Homo sapiens;;Cytoplasm;Dynein light chain 2, cytoplasmic
DYNLRB1;Q9NP97;2,153176;1,00E+00;1,901561;1,00E+00;Vicino all'ER;0,251615;Homo sapiens;protein-complex;Cytoplasm;Dynein light chain roadblock-type 1
DYNLT1;P63172;2,248107;1,00E+00;2,022567;1,00E+00;Vicino all'ER;0,22554;Homo sapiens;;protein-complex;Dynein light chain Tctex-type 1
"DYNLT2B;;DYNLT2B";"E7ER86;E7ESA3;Q8WW35";1,8309;1,00E+00;1,689121;1,00E+00;Vicino all'ER;0,141779;Homo sapiens;;Translation;"Dynein light chain Tctex-type 2B;Tctex1 domain-containing protein 2;Dynein light chain Tctex-type protein 2B"
DYNLT3;"A6NGJ0;P51808";2,16756;1,00E+00;1,941864;1,00E+00;Vicino all'ER;0,225696;Homo sapiens;protein-complex;protein-complex;Dynein light chain Tctex-type 3
DYRK1B;"A0A9H4CVU7;Q9Y463";2,370177;1,00E+00;2,161571;1,00E+00;Vicino all'ER;0,208606;Homo sapiens;;protein-complex;"dual-specificity kinase;Dual specificity tyrosine-phosphorylation-regulated kinase 1B"
EARS2;Q5JPH6;1,46861;3,99E-01;1,222458;2,59E-01;Vicino all'ER;0,246152;Homo sapiens;Mitochondria;Mitochondria;Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial
EBAG9;"A0A8V8TPH5;E9PN10;E9PND3;O00559";0,7847317;7,13E-03;0,598309;2,23E-03;Vicino all'ER;0,1864227;Homo sapiens;;ER;"Receptor-binding cancer antigen expressed on SiSo cells;Estrogen receptor binding site associated antigen 9 (Fragment);Receptor-binding cancer antigen expressed on SiSo cells;Receptor-binding cancer antigen expressed on SiSo cells"
EBNA1BP2;"H7C2Q8;Q99848";0,7672133;6,28E-03;0,7451721;9,24E-03;Vicino all'ER;0,0220412;Homo sapiens;;Nucleus;"EBNA1 binding protein 2;Probable rRNA-processing protein EBP2"
EBP;Q15125;0,7067704;3,88E-03;0,6163811;2,61E-03;Vicino all'ER;0,0903893;Homo sapiens;ER;Nucleus;3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase
ECE1;P42892;1,142178;7,54E-02;0,9983785;6,77E-02;Vicino all'ER;0,1437995;Homo sapiens;endosome-vesicle;Lysosome;Endothelin-converting enzyme 1
ECH1;Q13011;0,667056;2,87E-03;0,6031512;2,33E-03;Vicino all'ER;0,0639048;Homo sapiens;Mitochondria;Mitochondria;Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial
ECHDC1;Q9NTX5;0,8771988;1,36E-02;0,650027;3,76E-03;Vicino all'ER;0,2271718;Homo sapiens;;Mitochondria;Ethylmalonyl-CoA decarboxylase
ECHS1;P30084;0,9023517;1,59E-02;0,692121;5,82E-03;Vicino all'ER;0,2102307;Homo sapiens;Mitochondria;Mitochondria;Enoyl-CoA hydratase, mitochondrial
ECI1;P42126;0,5958322;1,49E-03;0,5630732;1,48E-03;Vicino all'ER;0,032759;Homo sapiens;Mitochondria;Mitochondria;Enoyl-CoA delta isomerase 1, mitochondrial
ECI2;"A0A0C4DGA2;O75521";0,6061791;1,64E-03;0,3656789;0,00E+00;Vicino all'ER;0,2405002;Homo sapiens;Mitochondria;ER;Enoyl-CoA delta isomerase 2
ECM1;Q16610;0,4696551;1,39E-04;0,5988674;2,25E-03;Vicino al REPLICOMA;0,1292123;Homo sapiens;;ER;Extracellular matrix protein 1
ECPAS;Q5VYK3;2,142258;1,00E+00;1,95872;1,00E+00;Vicino all'ER;0,183538;Homo sapiens;protein-complex;protein-complex;Proteasome adapter and scaffold protein ECM29
ECSIT;Q9BQ95;1,262322;1,49E-01;1,090854;1,27E-01;Vicino all'ER;0,171468;Homo sapiens;Mitochondria;endosome-vesicle;Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial
EDC3;Q96F86;2,249195;1,00E+00;2,000047;1,00E+00;Vicino all'ER;0,249148;Homo sapiens;;Translation;Enhancer of mRNA-decapping protein 3
EDC4;Q6P2E9;1,560744;5,63E-01;1,50299;7,78E-01;Vicino all'ER;0,057754;Homo sapiens;;Translation;Enhancer of mRNA-decapping protein 4
EDEM3;"A0A8I5KR65;A0A8I5KTR7;A0A8I5KVE6;A0A8I5KWI4;A0A8J8YX80;Q9BZQ6";0,9364256;2,06E-02;0,7077128;6,84E-03;Vicino all'ER;0,2287128;Homo sapiens;ER;ER;"alpha-1,2-Mannosidase;alpha-1,2-Mannosidase;alpha-1,2-Mannosidase;alpha-1,2-Mannosidase;alpha-1,2-Mannosidase;ER degradation-enhancing alpha-mannosidase-like protein 3"
EDF1;O60869;1,114094;6,46E-02;1,118227;1,47E-01;Vicino al REPLICOMA;0,004133;Homo sapiens;;endosome-vesicle;Endothelial differentiation-related factor 1
EDIL3;O43854;1,184986;9,64E-02;1,044442;9,39E-02;Vicino all'ER;0,140544;Homo sapiens;;PM;EGF-like repeat and discoidin I-like domain-containing protein 3
EDRF1;Q3B7T1;2,254851;1,00E+00;2,001212;1,00E+00;Vicino all'ER;0,253639;Homo sapiens;;endosome-vesicle;Erythroid differentiation-related factor 1
EEA1;Q15075;2,078619;1,00E+00;1,836163;1,00E+00;Vicino all'ER;0,242456;Homo sapiens;;Cytoplasm;Early endosome antigen 1
EEF1A1;"A0A087WVQ9;A0A7I2V659;P68104";2,185374;1,00E+00;1,946276;1,00E+00;Vicino all'ER;0,239098;Homo sapiens;;Cytoplasm;"Elongation factor 1-alpha;Elongation factor 1-alpha;Elongation factor 1-alpha 1"
EEF1A2;"A0A2U3TZH3;A0A9L9PYI8;Q05639";1,927737;1,00E+00;1,79149;1,00E+00;Vicino all'ER;0,136247;Homo sapiens;Cytoplasm;Cytoplasm;"Elongation factor 1-alpha;Elongation factor 1-alpha 2;Elongation factor 1-alpha 2"
EEF1AKMT2;A0A494BZY7;1,592829;6,27E-01;1,356614;4,81E-01;Vicino all'ER;0,236215;Homo sapiens;;Mitochondria;EEF1A lysine methyltransferase 2
EEF1B2;P24534;1,771355;9,46E-01;1,559974;8,82E-01;Vicino all'ER;0,211381;Homo sapiens;Cytoplasm;Translation;Elongation factor 1-beta
EEF1D;P29692;1,949333;1,00E+00;1,721404;1,00E+00;Vicino all'ER;0,227929;Homo sapiens;protein-complex;Translation;Elongation factor 1-delta
EEF1D;E9PL71;2,032324;1,00E+00;1,790301;1,00E+00;Vicino all'ER;0,242023;Homo sapiens;protein-complex;Translation;Elongation factor 1-delta (Fragment)
EEF1E1;O43324;2,305596;1,00E+00;2,088321;1,00E+00;Vicino all'ER;0,217275;Homo sapiens;;protein-complex;Eukaryotic translation elongation factor 1 epsilon-1
EEF1G;P26641;1,723664;8,65E-01;1,524305;8,17E-01;Vicino all'ER;0,199359;Homo sapiens;;Translation;Elongation factor 1-gamma
EEF2;P13639;2,2604;1,00E+00;2,01073;1,00E+00;Vicino all'ER;0,24967;Homo sapiens;Translation;Cytoplasm;Elongation factor 2
EEF2K;O00418;2,097622;1,00E+00;1,847354;1,00E+00;Vicino all'ER;0,250268;Homo sapiens;;Cytoplasm;Eukaryotic elongation factor 2 kinase
EEFSEC;P57772;1,576375;5,93E-01;1,423816;6,17E-01;Vicino all'ER;0,152559;Homo sapiens;;Translation;Selenocysteine-specific elongation factor
EEPD1;Q7L9B9;1,914349;1,00E+00;1,696305;1,00E+00;Vicino all'ER;0,218044;Homo sapiens;;endosome-vesicle;Endonuclease/exonuclease/phosphatase family domain-containing protein 1
EFCAB13;K7ELL9;2,273382;1,00E+00;2,027949;1,00E+00;Vicino all'ER;0,245433;Homo sapiens;;protein-complex;EF-hand calcium binding domain 13 (Fragment)
EFCAB14;"A0A804H3B5;O75071";1,121375;6,73E-02;0,8911836;3,01E-02;Vicino all'ER;0,2301914;Homo sapiens;;Golgi apparatus;"EF-hand calcium binding domain 14;EF-hand calcium-binding domain-containing protein 14"
EFEMP1;Q12805;1,129211;7,02E-02;0,819288;1,67E-02;Vicino all'ER;0,309923;Homo sapiens;;Mitochondria;EGF-containing fibulin-like extracellular matrix protein 1
EFEMP2;"E9PRU1;O95967";1,807297;1,00E+00;1,545951;8,56E-01;Vicino all'ER;0,261346;Homo sapiens;;Cytoplasm;"EGF containing fibulin extracellular matrix protein 2;EGF-containing fibulin-like extracellular matrix protein 2"
EFHD2;Q96C19;1,952545;1,00E+00;1,727776;1,00E+00;Vicino all'ER;0,224769;Homo sapiens;Cytoplasm;Cytoplasm;EF-hand domain-containing protein D2
